jlda0	jlda1	jlda2	jlda3	jlda4	jlda5	jlda6	jlda7	jlda8	jlda9	jlda10	jlda11	jlda12	jlda13	jlda14	jlda15	jlda16	jlda17	jlda18	jlda19	jlda20	jlda21	jlda22	jlda23	jlda24
0.0144887916894	0.00164024056862	0.00164024056862	0.018589393111	0.00164024056862	0.0144887916894	0.0144887916894	0.018589393111	0.00164024056862	0.00246036085293	0.0144887916894	0.00164024056862	0.00164024056862	0.0144887916894	0.018589393111	0.00164024056862	0.00164024056862	0.018589393111	0.00164024056862	0.0297977036632	0.00164024056862	0.00164024056862	0.00164024056862	0.0306178239475	0.0363586659377
0.00127591706539	0.00127591706539	0.00127591706539	0.00127591706539	0.00127591706539	0.0162679425837	0.015629984051	0.0194577352472	0.00127591706539	0.00127591706539	0.00127591706539	0.0194577352472	0.00127591706539	0.00127591706539	0.0162679425837	0.00127591706539	0.00127591706539	0.00127591706539	0.00127591706539	0.00127591706539	0.00127591706539	0.00191387559809	0.00127591706539	0.015629984051	0.00127591706539
0.0146975692482	0.0361786319955	0.00169587337479	0.00169587337479	0.00169587337479	0.0197851893725	0.0146975692482	0.0146975692482	0.00169587337479	0.00254381006218	0.00169587337479	0.00169587337479	0.0146975692482	0.00254381006218	0.00169587337479	0.0146975692482	0.0189372526851	0.0146975692482	0.0189372526851	0.00169587337479	0.00169587337479	0.0146975692482	0.00169587337479	0.0146975692482	0.00169587337479
0.0015368852459	0.0015368852459	0.0015368852459	0.0015368852459	0.0015368852459	0.0140881147541	0.0015368852459	0.0297131147541	0.0179303278689	0.0015368852459	0.0350922131148	0.0015368852459	0.0015368852459	0.0297131147541	0.0140881147541	0.0343237704918	0.0186987704918	0.0015368852459	0.0015368852459	0.0297131147541	0.0140881147541	0.0179303278689	0.0125512295082	0.0015368852459	0.0015368852459
0.00188087774295	0.00188087774295	0.0564263322884	0.00188087774295	0.00188087774295	0.00188087774295	0.00188087774295	0.00188087774295	0.0153605015674	0.0153605015674	0.0200626959248	0.0498432601881	0.0153605015674	0.00188087774295	0.0153605015674	0.00188087774295	0.00188087774295	0.00188087774295	0.00188087774295	0.0153605015674	0.00188087774295	0.0200626959248	0.00188087774295	0.00188087774295	0.00188087774295
0.0338777979431	0.000604960677556	0.000604960677556	0.000604960677556	0.000604960677556	0.0181488203267	0.000604960677556	0.0166364186328	0.0338777979431	0.0181488203267	0.000604960677556	0.000604960677556	0.000604960677556	0.000907441016334	0.000604960677556	0.0166364186328	0.000604960677556	0.0181488203267	0.0184513006655	0.0181488203267	0.000604960677556	0.000604960677556	0.000604960677556	0.000604960677556	0.000604960677556
0.0152820227841	0.0180605723812	0.00166712975827	0.00111141983884	0.0152820227841	0.00111141983884	0.0180605723812	0.0186162823006	0.00111141983884	0.0152820227841	0.0180605723812	0.0147263128647	0.00111141983884	0.00111141983884	0.0152820227841	0.0152820227841	0.00111141983884	0.0152820227841	0.00111141983884	0.0180605723812	0.00111141983884	0.00166712975827	0.00111141983884	0.00111141983884	0.00111141983884
0.0	0.0	0.0	0.0	0.016393442623	0.0	0.016393442623	0.0327868852459	0.016393442623	0.016393442623	0.0	0.016393442623	0.016393442623	0.0	0.016393442623	0.016393442623	0.0	0.016393442623	0.016393442623	0.0	0.0	0.0327868852459	0.016393442623	0.0	0.016393442623
0.000546448087432	0.000546448087432	0.0158469945355	0.0158469945355	0.0172131147541	0.000546448087432	0.0158469945355	0.000546448087432	0.000546448087432	0.0338797814208	0.0158469945355	0.000546448087432	0.0172131147541	0.0338797814208	0.000546448087432	0.0486338797814	0.000546448087432	0.0338797814208	0.000546448087432	0.000546448087432	0.0172131147541	0.0322404371585	0.000546448087432	0.0172131147541	0.0322404371585
0.0142251815981	0.00181598062954	0.00272397094431	0.00181598062954	0.00181598062954	0.00181598062954	0.0142251815981	0.00181598062954	0.00181598062954	0.0151331719128	0.0375302663438	0.0151331719128	0.00181598062954	0.00181598062954	0.00181598062954	0.00181598062954	0.00181598062954	0.00181598062954	0.00181598062954	0.00181598062954	0.00181598062954	0.00272397094431	0.00181598062954	0.00181598062954	0.0151331719128
