gensim-tfidf0	gensim-tfidf1	gensim-tfidf2	gensim-tfidf3	gensim-tfidf4	gensim-tfidf5	gensim-tfidf6	gensim-tfidf7	gensim-tfidf8	gensim-tfidf9	gensim-tfidf10	gensim-tfidf11	gensim-tfidf12	gensim-tfidf13	gensim-tfidf14	gensim-tfidf15	gensim-tfidf16	gensim-tfidf17	gensim-tfidf18	gensim-tfidf19	gensim-tfidf20	gensim-tfidf21	gensim-tfidf22	gensim-tfidf23	gensim-tfidf24
0.0033333333333	0.0033333333334	0.0033333333331	0.0033333333333	0.003333333332	0.519760197584	0.003333333339	0.0033333333333	0.223573135746	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.669999999993	0.0033333333342	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333311	0.0033333333333	0.0033333333334	0.0033333333333	0.0033333333333
0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.283318835392	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333342	0.0133333333338	0.405985502056	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333334	0.0133333333333	0.0133333333333
0.0133333333333	0.330180373618	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.679999999999	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333342	0.391551675204	0.0133333333334	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333334	0.112553665458	0.0133333333333
0.01	0.01	0.0100000000001	0.01	0.01	0.01	0.0099999999983	0.01	0.01	0.01	0.0100000000006	0.0100000000003	0.01	0.739999999991	0.0100000000001	0.01	0.509999999991	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
0.01	0.0100000000002	0.01	0.01	0.01	0.01	0.01	0.01	0.0100000000005	0.259999999997	0.0100000000005	0.01	0.01	0.01	0.0100000000014	0.01	0.51	0.01	0.01	0.01	0.624118202473	0.01	0.0100000000001	0.171881797506	0.01
0.01	0.0100000000002	0.0100000000001	0.01	0.0100000000005	0.01	0.01	0.01	1.63000057896e-10	0.01	0.0100000000003	0.01	0.01	0.01	0.0100000000019	0.0100000000006	0.010000000002	0.01	0.01	0.01	1.63100000519e-10	0.01	0.0100000000001	0.01	0.01
0.0133333333333	9.99998694962e-14	1.99999738992e-13	0.0133333333333	1.99999738992e-13	0.0133333333333	0.666666666666	9.99998694962e-14	1.99999738992e-13	9.99998694962e-14	0.0133333333333	0.0133333333333	0.0133333333333	9.00000560189e-13	5.00001082204e-13	9.99998694962e-14	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	1.53000008496e-11	0.0133333333333	9.99998694962e-14	0.666666666651	0.0133333333333
0.01	1.99999738992e-13	0.0100000000001	0.01	1.30000003817e-12	0.01	0.01	9.99998694962e-14	0.570520382598	9.99998694962e-14	4.99999347481e-13	0.01	0.01	0.01	3.29999916282e-12	0.01	3.60000050603e-12	0.01	0.01	0.01	0.749999999942	0.01	1.99999738992e-13	0.17947961735	0.01
0.01	0.0100000000001	0.01	0.01	0.01	0.01	0.329999999985	0.01	0.0100000000004	0.01	0.0100000000001	0.01	0.01	0.0100000000016	0.759999999992	0.01	0.496666666663	0.01	0.0100000000001	0.01	0.0100000000002	0.01	0.0100000000001	0.0100000000001	0.01
0.0033333333333	0.0033333333333	0.370520329177	0.0033333333333	0.746666666648	0.0033333333334	0.0033333333333	0.0033333333333	0.302813004149	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333322	0.0033333333333	0.0033333333333	0.0033333333243	0.0033333333333
