gensim-notfidf0	gensim-notfidf1	gensim-notfidf2	gensim-notfidf3	gensim-notfidf4	gensim-notfidf5	gensim-notfidf6	gensim-notfidf7	gensim-notfidf8	gensim-notfidf9	gensim-notfidf10	gensim-notfidf11	gensim-notfidf12	gensim-notfidf13	gensim-notfidf14	gensim-notfidf15	gensim-notfidf16	gensim-notfidf17	gensim-notfidf18	gensim-notfidf19	gensim-notfidf20	gensim-notfidf21	gensim-notfidf22	gensim-notfidf23	gensim-notfidf24
0.0033333333333	0.0033333333234	0.0033333333289	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333354	0.0033333333333	0.746666666612	0.0033333333339	0.0033333333338	0.0033333333333	0.0033333333284	0.0033333333333	0.003333333313	0.0033333333333	0.0033333333337	0.0033333333333	0.003333333326	0.003333333326	0.0033333333333	0.0033333333333	0.0033333333333	0.669999999996
0.0133333333333	0.0133333333333	0.0133333333337	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333341	0.29957168011	0.422238346773	0.0133333333335	0.0133333333338	0.0133333333337	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333337	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333349
0.0133333333333	0.0133333333333	0.0133333333337	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333341	0.679999999996	0.0133333333336	0.0133333333335	0.0133333333338	0.0133333333337	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.849523809516	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333349
0.01	0.01	0.0099999999998	0.01	0.01	0.01	0.01	0.009999999999	0.0100000000012	0.010000000001	0.0100000000012	0.0100000000023	0.0100000000036	0.01	0.01	0.01	0.01	0.0099999999998	0.01	0.01	0.01	0.0100000000053	0.01	0.01	0.240000000013
0.01	0.0100000000003	0.0100000000005	0.797999999989	0.01	0.01	0.01	0.01	0.01	0.759999999992	0.0100000000011	0.01	0.01	0.01	0.01	0.010000000001	0.01	0.010000000001	0.01	0.01	0.01	0.0100000000037	0.01	0.01	0.01
0.01	9.00000560189e-13	0.0100000000007	0.0100000000009	0.01	0.01	0.01	0.01	0.0100000000005	0.0100000000007	0.0100000000009	0.01	0.01	0.0100000000007	0.01	0.759999999991	0.01	0.0100000000008	0.01	0.0100000000005	0.0100000000005	0.0100000000008	0.01	0.01	0.01
0.0133333333333	1.80000112038e-12	3.99999477985e-13	1.69999951616e-12	0.0133333333333	0.0133333333333	1.99999912465e-12	0.666666666663	4.00001212708e-13	0.666666666611	5.00001082204e-13	2.20000059836e-12	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	9.00000560189e-13	0.0133333333333	4.37000002157e-11	2.10000072887e-12	0.0133333333333	0.0133333333333	0.0133333333333	1.59999964666e-12
0.01	0.749999999954	1.10000029918e-12	7.00000821197e-13	0.01	0.01	0.0100000000011	0.01	0.0100000000003	1.40000164239e-12	2.79999981534e-12	0.01	0.01	1.90000098987e-12	0.01	2.55999995508e-11	0.01	2.10000072887e-12	0.01	1.99999738992e-13	0.749999999987	2.60000007635e-12	0.01	0.01	0.01
0.01	0.0100000000002	0.010000000001	0.0100000000004	0.01	0.01	0.01	0.0100000000029	0.01	0.010000000001	0.759999999988	0.0100000000006	0.01	0.01	0.01	0.0100000000008	0.01	0.0100000000013	0.01	0.01	0.01	0.40551325922	0.01	0.01	0.421153407435
0.0033333333333	0.0033333333354	0.669999999984	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333331	0.0033333333333	0.0033333333328	0.0033333333333	0.0033333333346	0.0033333333333	0.0033333333361	0.0033333333333	0.0033333333333	0.0033333333333	0.746666666658	0.0033333333352	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333
0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.394666666666	0.346666666663	0.0133333333352	0.346666666669	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.394666666664	0.0133333333333	0.0133333333333	0.0133333333333
0.01	0.0100000000003	0.0100000000004	0.0100000000004	0.01	0.01	0.01	0.01	0.0100000000002	0.0100000000011	0.0100000000011	0.0100000000004	0.0100000000006	0.01	0.01	0.0100000000008	0.01	0.0100000000008	0.01	0.01	0.01	0.759999999993	0.01	0.01	0.797999999996
0.01	0.01	0.0100000000002	0.01	0.01	0.01	0.01	0.0100000000009	0.0100000000002	0.0100000000002	0.293005546977	0.0100000000005	0.0100000000005	0.01	0.01	0.01	0.01	0.0100000000002	0.01	0.01	0.01	0.502994453017	0.01	0.01	0.759999999996
0.0133333333333	0.0033333333327	0.746666666646	0.0033333333323	0.0133333333333	0.0133333333333	0.0133333333341	0.669999999992	0.0133333333336	0.0033333333317	0.0033333333308	0.0033333333329	0.0133333333333	0.0133333333333	0.0133333333333	0.0033333333315	0.0133333333333	0.0033333333312	0.0133333333333	0.0133333333333	0.0133333333333	0.0033333333315	0.0133333333333	0.0133333333333	0.0033333333316
0	1.90000237765e-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0033333333333	0.0033333333333	0.0033333333334	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333335	0.17	0.0033333333334	0.0033333333334	0.0033333333334	0.0033333333334	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333335	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.246666666668	0.0033333333333	0.0033333333336
0	0	0	0	0	0	0	0	0	0.943529411758	0	0	0	0	0	0	0	0	0	0	0	0.839999999989	0	0	0
0.01	5.99999216977e-13	0.010000000001	3.99999477985e-13	0.01	0.01	1.30000003817e-12	0.0100000000192	2.99999608488e-13	0.749999999987	0.749999999967	6.000009517e-13	0.01	0.01	0.01	0.0100000000008	0.01	7.00000821197e-13	0.01	1.69999951616e-12	1.00000042969e-12	0.0100000000008	0.01	0.01	0.0100000000026
0.0133333333333	0.0133333333333	3.99999477985e-13	1.10000029918e-12	0.0133333333333	0.0133333333333	0.666666666584	0.666666666586	7.00000821197e-13	1.00000042969e-12	5.00001082204e-13	3.99999477985e-13	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	4.00001212708e-13	0.0133333333333	0.0133333333333	1.39999990767e-12	0.0133333333333	0.0133333333333	0.0133333333333	1.59999964666e-12
0.01	0.010000000001	0.01	0.0100000000007	0.01	0.01	0.0100000000026	0.0100000000211	0.759999999973	0.01	0.01	0.01	0.01	0.829999999598	0.01	0.0100000000014	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
0.01	0.0100000000002	0.0100000000003	0.0100000000004	0.01	0.01	0.01	0.01	0.0100000000007	0.0100000000014	0.759999999985	0.0100000000014	0.829999999992	0.01	0.01	0.0100000000008	0.01	0.0100000000008	0.01	0.01	0.01	0.0100000000038	0.01	0.01	0.0100000000035
0	0.032000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.839999999986	0	0	0	0	0	0	0	0	0	0	0	0	0.839999999997	0	0	0
0	0	0	0	0	0	0	0	0	0.903999999962	0	0	0.839999999994	0	0	0	0	0	0	0	0	0	0	0	0
0	0.0100000000003	0.0100000000004	0.0100000000004	0	0	0	0	0.0100000000002	0.0100000000161	0.0100000000011	0.829999999981	0.0100000000006	0	0	0.0100000000008	0	0.0100000000008	0	0	0	0.759999999978	0	0	0.010000000001
